year,wareki,month,day,text,forTransText,english,ov150words
507,(継体1),1,4,大連大伴金村ら，男大迹王の擁立を図る.,大連大伴金村ら，男大迹王の擁立を図る.,,2
507,(継体1),1,6,三国に使者を派遣し男大迹王に即位を要請.王は受諾〔日本書紀〕.,三国に使者を派遣し男大迹王に即位を要請.王は受諾,,2
507,(継体1),1,24,男大迹王，樟葉宮に至る〔日本書紀〕.,男大迹王，樟葉宮に至る,,2
507,(継体1),2,4,継体即位〔日本書紀〕.,継体即位,,2
507,(継体1),3,1,継体天皇，手白香皇女を皇后とする〔日本書紀〕.,継体天皇，手白香皇女を皇后とする,,2
507,(継体1),3,14,継体天皇，8人の妃を入れる〔日本書紀〕.,継体天皇，8人の妃を入れる,,2
511,(継体5),10,,都を山背(山城)の筒城に移す〔日本書紀〕.,都を山背(山城)の筒城に移す,,2
512,(継体6),12,,大伴金村，百済の求めに応じて任那の4県を割譲.,大伴金村，百済の求めに応じて任那の4県を割譲.,,2
518,(継体12),3,9,都を山背の弟国に移す〔日本書紀〕.,都を山背の弟国に移す,,2
526,(継体20),9,13,都を大和の磐余の玉穂に移す〔日本書紀〕.,都を大和の磐余の玉穂に移す,,2
527,(継体21),8,1,筑紫国造磐井の乱.大連物部麁鹿火，征討に出発.,筑紫国造磐井の乱.大連物部麁鹿火，征討に出発.,,2
528,(継体22),11,11,大連物部麁鹿火，磐井と筑紫御井郡で交戦.磐井，斬られる.,大連物部麁鹿火，磐井と筑紫御井郡で交戦.磐井，斬られる.,,2
536,(欽明5),12,,越国が佐渡に来着した粛慎人について報告〔日本書紀〕.,越国が佐渡に来着した粛慎人について報告,,2
552,(欽明13),10,,百済の聖明王，金銅仏・経論などを欽明天皇に贈る(538年説あり).大臣蘇我稲目，崇仏を主張し，大連物部尾輿ら，廃仏を主張.,百済の聖明王，金銅仏・経論などを欽明天皇に贈る(538年説あり).大臣蘇我稲目，崇仏を主張し，大連物部尾輿ら，廃仏を主張.,,2
562,(欽明23),1,,新羅，任那(伽耶）を滅ぼす.,新羅，任那(伽耶）を滅ぼす.,,2
570,(欽明31),4,2,越人江渟臣裙代が京に行き，高麗使が越の岸に漂着したことを道君が隠していると報告〔日本書紀〕.,越人江渟臣裙代が京に行き，高麗使が越の岸に漂着したことを道君が隠していると報告,,2
570,(欽明31),5,,膳臣傾子を越に派遣し，高麗使を饗応〔日本書紀〕.,膳臣傾子を越に派遣し，高麗使を饗応,,2
573,(敏達2),5,3,高麗使人が越の海岸に漂着.船が難破し多数溺死.朝廷，吉備海部直難波を派遣，高麗使を送還させる〔日本書紀〕.,高麗使人が越の海岸に漂着.船が難破し多数溺死.朝廷，吉備海部直難波を派遣，高麗使を送還させる,,2
573,(敏達2),7,1,送使吉備海部直難波，同船の高麗使2人を海に投げ入れる〔日本書紀〕.,送使吉備海部直難波，同船の高麗使2人を海に投げ入れる,,2
